"country_id","country_text_id","year","stock_id"
44,"LBN",1917,99
44,"LBN",1918,99
80,"IRQ",1831,99
80,"IRQ",1832,99
80,"IRQ",1833,99
80,"IRQ",1834,99
80,"IRQ",1835,99
80,"IRQ",1836,99
80,"IRQ",1837,99
80,"IRQ",1838,99
80,"IRQ",1839,99
80,"IRQ",1840,99
80,"IRQ",1841,99
80,"IRQ",1842,99
80,"IRQ",1843,99
80,"IRQ",1844,99
80,"IRQ",1845,99
80,"IRQ",1846,99
80,"IRQ",1847,99
80,"IRQ",1848,99
80,"IRQ",1849,99
80,"IRQ",1850,99
80,"IRQ",1851,99
80,"IRQ",1852,99
80,"IRQ",1853,99
80,"IRQ",1854,99
80,"IRQ",1855,99
80,"IRQ",1856,99
80,"IRQ",1857,99
80,"IRQ",1858,99
80,"IRQ",1859,99
80,"IRQ",1860,99
80,"IRQ",1861,99
80,"IRQ",1862,99
80,"IRQ",1863,99
80,"IRQ",1864,99
80,"IRQ",1865,99
80,"IRQ",1866,99
80,"IRQ",1867,99
80,"IRQ",1868,99
80,"IRQ",1869,99
80,"IRQ",1870,99
80,"IRQ",1871,99
80,"IRQ",1872,99
80,"IRQ",1873,99
80,"IRQ",1874,99
80,"IRQ",1875,99
80,"IRQ",1876,99
80,"IRQ",1877,99
80,"IRQ",1878,99
80,"IRQ",1879,99
80,"IRQ",1880,99
80,"IRQ",1881,99
80,"IRQ",1882,99
80,"IRQ",1883,99
80,"IRQ",1884,99
80,"IRQ",1885,99
80,"IRQ",1886,99
80,"IRQ",1887,99
80,"IRQ",1888,99
80,"IRQ",1889,99
80,"IRQ",1890,99
80,"IRQ",1891,99
80,"IRQ",1892,99
80,"IRQ",1893,99
80,"IRQ",1894,99
80,"IRQ",1895,99
80,"IRQ",1896,99
80,"IRQ",1897,99
80,"IRQ",1898,99
80,"IRQ",1899,99
80,"IRQ",1900,99
80,"IRQ",1901,99
80,"IRQ",1902,99
80,"IRQ",1903,99
80,"IRQ",1904,99
80,"IRQ",1905,99
80,"IRQ",1906,99
